rank,student_id,score,s_score,proportion,grade
149 = 164,312800226,77,711,98.27,A-
149 = 164,312800419,77,711,98.27,A-
149 = 164,312801433,77,711,98.27,A-
149 = 164,312800644,77,711,98.27,A-
149 = 164,312502461,77,711,98.27,A-
149 = 164,312502333,77,711,98.27,A-
149 = 164,312500508,77,711,98.27,A-
149 = 164,312500981,77,711,98.27,A-
149 = 164,312502692,77,711,98.27,A-
149 = 164,312501563,77,711,98.27,A-
165 = 174,312501079,76,708,98.1,A-
165 = 174,312800701,76,708,98.1,A-
165 = 174,312801917,76,708,98.1,A-
165 = 174,312801209,76,708,98.1,A-
165 = 174,312800422,76,708,98.1,A-
165 = 174,312402041,76,708,98.1,A-
165 = 174,312401227,76,708,98.1,A-
165 = 174,313000936,76,708,98.1,A-
165 = 174,313000105,76,708,98.1,A-
165 = 174,312900022,76,708,98.1,A-
175 = 185,312701099,75,704,97.95,A-
175 = 185,312701348,75,704,97.95,A-
175 = 185,312401609,75,704,97.95,A-
175 = 185,312800380,75,704,97.95,A-
175 = 185,312800825,75,704,97.95,A-
175 = 185,312800462,75,704,97.95,A-
175 = 185,312503490,75,704,97.95,A-
175 = 185,312502440,75,704,97.95,A-
175 = 185,312502714,75,704,97.95,A-
175 = 185,312501964,75,704,97.95,A-
175 = 185,312503776,75,704,97.95,A-
186 = 200,312501168,74,702,97.81,A-
186 = 200,312500033,74,702,97.81,A-
186 = 200,312802165,74,702,97.81,A-
186 = 200,312801637,74,702,97.81,A-
186 = 200,312800635,74,702,97.81,A-
186 = 200,312800253,74,702,97.81,A-
186 = 200,312800925,74,702,97.81,A-
186 = 200,312400903,74,702,97.81,A-
186 = 200,312401326,74,702,97.81,A-
186 = 200,312401435,74,702,97.81,A-
186 = 200,312400325,74,702,97.81,A-
186 = 200,312700770,74,702,97.81,A-
186 = 200,312900172,74,702,97.81,A-
186 = 200,312900315,74,702,97.81,A-
186 = 200,313000185,74,702,97.81,A-
201 = 221,312701036,73,699,97.64,B
201 = 221,312701061,73,699,97.64,B
201 = 221,312701957,73,699,97.64,B
201 = 221,312700147,73,699,97.64,B
201 = 221,312401834,73,699,97.64,B
201 = 221,312800416,73,699,97.64,B
201 = 221,312800324,73,699,97.64,B
201 = 221,312800168,73,699,97.64,B
201 = 221,312800075,73,699,97.64,B
201 = 221,312801982,73,699,97.64,B
201 = 221,312801860,73,699,97.64,B
201 = 221,312801861,73,699,97.64,B
201 = 221,312802337,73,699,97.64,B
201 = 221,312802136,73,699,97.64,B
201 = 221,312500984,73,699,97.64,B
201 = 221,312502671,73,699,97.64,B
201 = 221,312502666,73,699,97.64,B
201 = 221,312502318,73,699,97.64,B
201 = 221,312502278,73,699,97.64,B
201 = 221,312501574,73,699,97.64,B
201 = 221,312501461,73,699,97.64,B
222 = 233,312501402,72,696,97.47,B
222 = 233,312501838,72,696,97.47,B
222 = 233,312500753,72,696,97.47,B
222 = 233,312500494,72,696,97.47,B
222 = 233,312800838,72,696,97.47,B
222 = 233,312402248,72,696,97.47,B
222 = 233,312400907,72,696,97.47,B
222 = 233,312700510,72,696,97.47,B
222 = 233,312701027,72,696,97.47,B
222 = 233,312700942,72,696,97.47,B
222 = 233,312701435,72,696,97.47,B
222 = 233,313001016,72,696,97.47,B
234 = 247,313100215,71,693,97.32,B
234 = 247,312900429,71,693,97.32,B
234 = 247,312900072,71,693,97.32,B
234 = 247,312401366,71,693,97.32,B
234 = 247,312800028,71,693,97.32,B
234 = 247,312800225,71,693,97.32,B
234 = 247,312801726,71,693,97.32,B
234 = 247,312801121,71,693,97.32,B
234 = 247,312801522,71,693,97.32,B
234 = 247,312801548,71,693,97.32,B
234 = 247,312502490,71,693,97.32,B
234 = 247,312501818,71,693,97.32,B
234 = 247,312502937,71,693,97.32,B
234 = 247,312502934,71,693,97.32,B
248 = 269,312503126,70,690,97.15,B
248 = 269,312501932,70,690,97.15,B
248 = 269,312502591,70,690,97.15,B
248 = 269,312500601,70,690,97.15,B
248 = 269,312503834,70,690,97.15,B
248 = 269,312500970,70,690,97.15,B
248 = 269,312800131,70,690,97.15,B
248 = 269,312802067,70,690,97.15,B
248 = 269,312800877,70,690,97.15,B
248 = 269,312400323,70,690,97.15,B
248 = 269,312400110,70,690,97.15,B
248 = 269,312900432,70,690,97.15,B
248 = 269,312700794,70,690,97.15,B
248 = 269,312701421,70,690,97.15,B
248 = 269,312700827,70,690,97.15,B
248 = 269,312701020,70,690,97.15,B
248 = 269,312701052,70,690,97.15,B
248 = 269,312701111,70,690,97.15,B
248 = 269,313105495,70,690,97.15,B
248 = 269,313104471,70,690,97.15,B
248 = 269,313000998,70,690,97.15,B
248 = 269,313000154,70,690,97.15,B
270 = 288,313000072,69,688,96.97,B
270 = 288,312700832,69,688,96.97,B
270 = 288,312701983,69,688,96.97,B
270 = 288,312701218,69,688,96.97,B
270 = 288,312701240,69,688,96.97,B
270 = 288,312700016,69,688,96.97,B
270 = 288,312901022,69,688,96.97,B
