rank,student_id,score,s_score,proportion,grade
145 = 163,313103529,83,700,97.79,A-
145 = 163,312501265,83,700,97.79,A-
145 = 163,312500366,83,700,97.79,A-
145 = 163,312701865,83,700,97.79,A-
145 = 163,312701111,83,700,97.79,A-
145 = 163,312700093,83,700,97.79,A-
145 = 163,312402125,83,700,97.79,A-
145 = 163,312401415,83,700,97.79,A-
145 = 163,312400921,83,700,97.79,A-
145 = 163,312400855,83,700,97.79,A-
164 = 186,312402166,82,696,97.52,B
164 = 186,312401912,82,696,97.52,B
164 = 186,312700957,82,696,97.52,B
164 = 186,312502171,82,696,97.52,B
164 = 186,312501637,82,696,97.52,B
164 = 186,312500043,82,696,97.52,B
164 = 186,312500674,82,696,97.52,B
164 = 186,312600199,82,696,97.52,B
164 = 186,312600257,82,696,97.52,B
164 = 186,312802106,82,696,97.52,B
164 = 186,312800438,82,696,97.52,B
164 = 186,312802226,82,696,97.52,B
164 = 186,312800763,82,696,97.52,B
164 = 186,312800780,82,696,97.52,B
164 = 186,312800927,82,696,97.52,B
164 = 186,312801980,82,696,97.52,B
164 = 186,312801170,82,696,97.52,B
164 = 186,312800131,82,696,97.52,B
164 = 186,312900444,82,696,97.52,B
164 = 186,313000144,82,696,97.52,B
164 = 186,313000456,82,696,97.52,B
164 = 186,313001330,82,696,97.52,B
164 = 186,313000410,82,696,97.52,B
187 = 206,313000390,81,691,97.19,B
187 = 206,313000113,81,691,97.19,B
187 = 206,312901023,81,691,97.19,B
187 = 206,312801624,81,691,97.19,B
187 = 206,312801286,81,691,97.19,B
187 = 206,312801940,81,691,97.19,B
187 = 206,313100384,81,691,97.19,B
187 = 206,312502395,81,691,97.19,B
187 = 206,312500248,81,691,97.19,B
187 = 206,312500942,81,691,97.19,B
187 = 206,312503000,81,691,97.19,B
187 = 206,312502089,81,691,97.19,B
187 = 206,312701027,81,691,97.19,B
187 = 206,312400691,81,691,97.19,B
187 = 206,312401447,81,691,97.19,B
187 = 206,312401679,81,691,97.19,B
187 = 206,312400709,81,691,97.19,B
187 = 206,312401020,81,691,97.19,B
187 = 206,312402030,81,691,97.19,B
187 = 206,312401170,81,691,97.19,B
207 = 234,312401176,80,686,96.87,B
207 = 234,312401427,80,686,96.87,B
207 = 234,312401486,80,686,96.87,B
207 = 234,312402083,80,686,96.87,B
207 = 234,312400360,80,686,96.87,B
207 = 234,312701105,80,686,96.87,B
207 = 234,312700899,80,686,96.87,B
207 = 234,312701709,80,686,96.87,B
207 = 234,312701863,80,686,96.87,B
207 = 234,312700529,80,686,96.87,B
207 = 234,312501965,80,686,96.87,B
207 = 234,312503395,80,686,96.87,B
207 = 234,312503163,80,686,96.87,B
207 = 234,312503122,80,686,96.87,B
207 = 234,312501698,80,686,96.87,B
207 = 234,312501512,80,686,96.87,B
207 = 234,312501072,80,686,96.87,B
207 = 234,312500402,80,686,96.87,B
207 = 234,312500281,80,686,96.87,B
207 = 234,312500343,80,686,96.87,B
207 = 234,312500022,80,686,96.87,B
207 = 234,312500240,80,686,96.87,B
207 = 234,312502405,80,686,96.87,B
207 = 234,312801946,80,686,96.87,B
207 = 234,312800126,80,686,96.87,B
207 = 234,312800713,80,686,96.87,B
207 = 234,313000283,80,686,96.87,B
207 = 234,313000730,80,686,96.87,B
235 = 261,313001041,79,681,96.51,B
235 = 261,313000619,79,681,96.51,B
235 = 261,313000884,79,681,96.51,B
235 = 261,313000339,79,681,96.51,B
235 = 261,313001324,79,681,96.51,B
235 = 261,313001340,79,681,96.51,B
235 = 261,312900457,79,681,96.51,B
235 = 261,312901356,79,681,96.51,B
235 = 261,312801916,79,681,96.51,B
235 = 261,312800112,79,681,96.51,B
235 = 261,312801486,79,681,96.51,B
235 = 261,312801360,79,681,96.51,B
235 = 261,312800141,79,681,96.51,B
235 = 261,312801930,79,681,96.51,B
235 = 261,313103424,79,681,96.51,B
235 = 261,313104842,79,681,96.51,B
235 = 261,312502692,79,681,96.51,B
235 = 261,312500284,79,681,96.51,B
235 = 261,312501170,79,681,96.51,B
235 = 261,312502968,79,681,96.51,B
235 = 261,312503425,79,681,96.51,B
235 = 261,312700039,79,681,96.51,B
235 = 261,312701838,79,681,96.51,B
235 = 261,312701421,79,681,96.51,B
235 = 261,312401903,79,681,96.51,B
235 = 261,312400488,79,681,96.51,B
235 = 261,312400001,79,681,96.51,B
262 = 291,312400023,78,677,96.15,B
262 = 291,312400462,78,677,96.15,B
262 = 291,312401828,78,677,96.15,B
262 = 291,312400074,78,677,96.15,B
262 = 291,312402226,78,677,96.15,B
262 = 291,312401759,78,677,96.15,B
262 = 291,312401075,78,677,96.15,B
262 = 291,312701021,78,677,96.15,B
262 = 291,312701182,78,677,96.15,B
262 = 291,312701232,78,677,96.15,B
262 = 291,312700255,78,677,96.15,B
262 = 291,312700510,78,677,96.15,B
262 = 291,312503420,78,677,96.15,B
262 = 291,312503233,78,677,96.15,B
262 = 291,312501847,78,677,96.15,B
262 = 291,312501532,78,677,96.15,B
262 = 291,312501336,78,677,96.15,B
262 = 291,312501074,78,677,96.15,B
262 = 291,312500057,78,677,96.15,B
262 = 291,312502637,78,677,96.15,B
262 = 291,312502461,78,677,96.15,B
262 = 291,313104693,78,677,96.15,B
262 = 291,312801942,78,677,96.15,B
262 = 291,312800125,78,677,96.15,B
262 = 291,312800812,78,677,96.15,B
262 = 291,312900104,78,677,96.15,B
262 = 291,313001115,78,677,96.15,B
262 = 291,313000349,78,677,96.15,B
262 = 291,313000369,78,677,96.15,B
262 = 291,313000883,78,677,96.15,B
292 = 312,313000377,77,673,95.81,B
292 = 312,313000081,77,673,95.81,B
292 = 312,312900460,77,673,95.81,B
292 = 312,312801875,77,673,95.81,B
292 = 312,312800727,77,673,95.81,B
292 = 312,312801525,77,673,95.81,B
292 = 312,312800260,77,673,95.81,B
292 = 312,312600039,77,673,95.81,B
292 = 312,312502415,77,673,95.81,B
292 = 312,312502416,77,673,95.81,B
292 = 312,312501391,77,673,95.81,B
292 = 312,312501486,77,673,95.81,B
292 = 312,312501853,77,673,95.81,B
292 = 312,312503484,77,673,95.81,B
292 = 312,312701335,77,673,95.81,B
292 = 312,312701003,77,673,95.81,B
292 = 312,312700656,77,673,95.81,B
292 = 312,312401409,77,673,95.81,B
292 = 312,312402170,77,673,95.81,B
292 = 312,312400003,77,673,95.81,B
292 = 312,312400196,77,673,95.81,B
313 = 345,312401339,76,669,95.43,B
313 = 345,312401271,76,669,95.43,B
313 = 345,312401323,76,669,95.43,B
313 = 345,312401050,76,669,95.43,B
313 = 345,312701106,76,669,95.43,B
313 = 345,312701360,76,669,95.43,B
313 = 345,312701249,76,669,95.43,B
313 = 345,312702100,76,669,95.43,B
313 = 345,312501867,76,669,95.43,B
313 = 345,312500184,76,669,95.43,B
313 = 345,312501496,76,669,95.43,B
313 = 345,312501316,76,669,95.43,B
313 = 345,312501509,76,669,95.43,B
313 = 345,312500133,76,669,95.43,B
313 = 345,312502935,76,669,95.43,B
313 = 345,312500071,76,669,95.43,B
313 = 345,312501085,76,669,95.43,B
313 = 345,312500917,76,669,95.43,B
313 = 345,312600238,76,669,95.43,B
313 = 345,313105458,76,669,95.43,B
313 = 345,312801299,76,669,95.43,B
313 = 345,312800700,76,669,95.43,B
313 = 345,312802239,76,669,95.43,B
313 = 345,312800922,76,669,95.43,B
313 = 345,312800229,76,669,95.43,B
313 = 345,312800297,76,669,95.43,B
313 = 345,312901420,76,669,95.43,B
313 = 345,312900751,76,669,95.43,B
313 = 345,313000092,76,669,95.43,B
313 = 345,313000002,76,669,95.43,B
313 = 345,313000630,76,669,95.43,B
313 = 345,313001061,76,669,95.43,B
313 = 345,313000771,76,669,95.43,B
346 = 369,313001175,75,665,95.02,B
346 = 369,313000709,75,665,95.02,B
346 = 369,312900282,75,665,95.02,B
346 = 369,312900928,75,665,95.02,B
346 = 369,312900089,75,665,95.02,B
346 = 369,312800448,75,665,95.02,B
346 = 369,312800456,75,665,95.02,B
346 = 369,312800486,75,665,95.02,B
346 = 369,312801153,75,665,95.02,B
346 = 369,312801954,75,665,95.02,B
346 = 369,312801541,75,665,95.02,B
346 = 369,312801494,75,665,95.02,B
346 = 369,312801341,75,665,95.02,B
346 = 369,313102086,75,665,95.02,B
346 = 369,312500391,75,665,95.02,B
346 = 369,312500026,75,665,95.02,B
346 = 369,312500219,75,665,95.02,B
346 = 369,312501990,75,665,95.02,B
346 = 369,312701781,75,665,95.02,B
346 = 369,312400399,75,665,95.02,B
346 = 369,312401188,75,665,95.02,B
346 = 369,312401493,75,665,95.02,B
346 = 369,312402180,75,665,95.02,B
346 = 369,312400549,75,665,95.02,B
370 = 400,312402218,74,661,94.6,B
370 = 400,312401174,74,661,94.6,B
370 = 400,312401266,74,661,94.6,B
370 = 400,312401425,74,661,94.6,B
370 = 400,312402001,74,661,94.6,B
370 = 400,312400796,74,661,94.6,B
370 = 400,312400814,74,661,94.6,B
370 = 400,312400911,74,661,94.6,B
370 = 400,312701944,74,661,94.6,B
370 = 400,312702010,74,661,94.6,B
370 = 400,312700949,74,661,94.6,B
370 = 400,312701447,74,661,94.6,B
370 = 400,312700692,74,661,94.6,B
370 = 400,312501929,74,661,94.6,B
370 = 400,312501861,74,661,94.6,B
370 = 400,312503427,74,661,94.6,B
370 = 400,312503155,74,661,94.6,B
370 = 400,312502443,74,661,94.6,B
370 = 400,313100002,74,661,94.6,B
370 = 400,312600209,74,661,94.6,B
370 = 400,312600165,74,661,94.6,B
370 = 400,312801522,74,661,94.6,B
370 = 400,312800052,74,661,94.6,B
370 = 400,312800924,74,661,94.6,B
370 = 400,312800032,74,661,94.6,B
370 = 400,312900908,74,661,94.6,B
370 = 400,312900327,74,661,94.6,B
370 = 400,313000570,74,661,94.6,B
370 = 400,313000586,74,661,94.6,B
370 = 400,313000995,74,661,94.6,B
370 = 400,313000153,74,661,94.6,B
401 = 427,313000465,73,657,94.14,B
401 = 427,313001196,73,657,94.14,B
401 = 427,313000684,73,657,94.14,B
401 = 427,312900903,73,657,94.14,B
401 = 427,312900520,73,657,94.14,B
401 = 427,312900521,73,657,94.14,B
401 = 427,312800523,73,657,94.14,B
401 = 427,312802051,73,657,94.14,B
401 = 427,313104300,73,657,94.14,B
401 = 427,312502464,73,657,94.14,B
401 = 427,312502667,73,657,94.14,B
401 = 427,312500023,73,657,94.14,B
401 = 427,312500279,73,657,94.14,B
401 = 427,312503136,73,657,94.14,B
401 = 427,312502999,73,657,94.14,B
401 = 427,312502716,73,657,94.14,B
401 = 427,312501326,73,657,94.14,B
401 = 427,312503769,73,657,94.14,B
401 = 427,312502174,73,657,94.14,B
401 = 427,312701979,73,657,94.14,B
401 = 427,312701731,73,657,94.14,B
401 = 427,312701645,73,657,94.14,B
401 = 427,312700102,73,657,94.14,B
401 = 427,312400418,73,657,94.14,B
401 = 427,312402227,73,657,94.14,B
401 = 427,312400611,73,657,94.14,B
401 = 427,312400329,73,657,94.14,B
428 = 465,312400616,72,653,93.66,B
428 = 465,312401606,72,653,93.66,B
428 = 465,312401525,72,653,93.66,B
428 = 465,312401187,72,653,93.66,B
428 = 465,312700016,72,653,93.66,B
428 = 465,312701694,72,653,93.66,B
428 = 465,312701262,72,653,93.66,B
428 = 465,312701484,72,653,93.66,B
428 = 465,312701384,72,653,93.66,B
428 = 465,312502063,72,653,93.66,B
