rank,student_id,score,s_score,proportion,grade
131 = 169,312500227,89,735,99.07,A-
131 = 169,312500488,89,735,99.07,A-
131 = 169,312501265,89,735,99.07,A-
131 = 169,312503142,89,735,99.07,A-
131 = 169,312502928,89,735,99.07,A-
131 = 169,312501857,89,735,99.07,A-
131 = 169,312503179,89,735,99.07,A-
131 = 169,312503373,89,735,99.07,A-
131 = 169,312503395,89,735,99.07,A-
131 = 169,312503752,89,735,99.07,A-
131 = 169,312503760,89,735,99.07,A-
131 = 169,312503765,89,735,99.07,A-
131 = 169,312503776,89,735,99.07,A-
131 = 169,312503273,89,735,99.07,A-
170 = 210,312503223,88,725,98.82,A-
170 = 210,312503773,88,725,98.82,A-
170 = 210,312502394,88,725,98.82,A-
170 = 210,312500625,88,725,98.82,A-
170 = 210,312503519,88,725,98.82,A-
170 = 210,312500959,88,725,98.82,A-
170 = 210,312501578,88,725,98.82,A-
170 = 210,312501607,88,725,98.82,A-
170 = 210,312501827,88,725,98.82,A-
170 = 210,312501714,88,725,98.82,A-
170 = 210,312502961,88,725,98.82,A-
170 = 210,312501327,88,725,98.82,A-
170 = 210,312501330,88,725,98.82,A-
170 = 210,312500102,88,725,98.82,A-
170 = 210,312500383,88,725,98.82,A-
170 = 210,312500026,88,725,98.82,A-
170 = 210,312402173,88,725,98.82,A-
170 = 210,312401435,88,725,98.82,A-
170 = 210,312400416,88,725,98.82,A-
170 = 210,312400591,88,725,98.82,A-
170 = 210,312400533,88,725,98.82,A-
170 = 210,313100696,88,725,98.82,A-
170 = 210,313101821,88,725,98.82,A-
170 = 210,312900736,88,725,98.82,A-
170 = 210,312901298,88,725,98.82,A-
170 = 210,312901156,88,725,98.82,A-
170 = 210,312900958,88,725,98.82,A-
170 = 210,313000821,88,725,98.82,A-
170 = 210,312800429,88,725,98.82,A-
170 = 210,312800401,88,725,98.82,A-
170 = 210,312801917,88,725,98.82,A-
170 = 210,312800839,88,725,98.82,A-
170 = 210,312800127,88,725,98.82,A-
170 = 210,312801438,88,725,98.82,A-
170 = 210,312802051,88,725,98.82,A-
170 = 210,312801208,88,725,98.82,A-
170 = 210,312800060,88,725,98.82,A-
170 = 210,312800518,88,725,98.82,A-
170 = 210,312801774,88,725,98.82,A-
170 = 210,312701557,88,725,98.82,A-
170 = 210,312700920,88,725,98.82,A-
211 = 248,312700957,87,718,98.55,A-
211 = 248,312701212,87,718,98.55,A-
211 = 248,312701823,87,718,98.55,A-
211 = 248,312700246,87,718,98.55,A-
211 = 248,312800683,87,718,98.55,A-
211 = 248,312800623,87,718,98.55,A-
211 = 248,312802079,87,718,98.55,A-
211 = 248,312801531,87,718,98.55,A-
211 = 248,312800914,87,718,98.55,A-
211 = 248,312800166,87,718,98.55,A-
211 = 248,312800186,87,718,98.55,A-
211 = 248,312800215,87,718,98.55,A-
211 = 248,312800337,87,718,98.55,A-
211 = 248,312900886,87,718,98.55,A-
211 = 248,312900377,87,718,98.55,A-
